,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,output_rf,output_rb,output_lf,output_lb
30,95.996,-339.941,-18.262,122.656,79.883,-85.54700000000003,40.332,-14.453,57.617,17.773,105.957,-471.484,-89.45299999999997,-353.516,116.406,-44.922,145.215,2.441,71.387,0,0,1,0
31,78.809,-365.918,-49.609,100.488,64.844,-69.336,26.758000000000006,-32.617,56.055,3.711,72.75399999999998,-486.035,-77.637,-369.727,102.539,-65.918,128.32,-18.262,54.59,0,0,1,0
32,66.309,-384.961,-57.617,86.426,58.984,-61.719,16.699,-50.39100000000001,54.199,-8.105,79.395,-509.18,-87.109,-392.285,85.059,-73.535,118.457,-31.641,41.699,0,0,1,0
33,60.547,-400.781,-51.172,69.531,61.426,-64.258,5.7620000000000005,-62.598,43.848,-17.676,61.035,-534.4730000000002,-87.695,-414.746,71.484,-84.473,114.844,-38.281,28.418000000000006,0,0,1,0
34,45.41,-422.168,-67.969,49.414,57.03100000000001,-61.914,0.488,-79.102,44.824,-28.516,62.305,-555.078,-60.254,-432.031,61.426,-100.293,104.395,-50.58600000000001,17.383,0,0,1,0
35,60.742,-394.629,-64.063,85.93700000000003,65.43,-72.07,18.555,-60.352,58.789,-11.035,91.797,-531.738,-56.543,-413.477,79.297,-74.12100000000002,122.559,-31.836,39.453,0,0,1,0
36,84.863,-363.77,-43.066,123.828,79.688,-83.398,40.234,-37.598,71.777,6.348,117.676,-529.492,-57.91,-393.262,111.523,-56.348,143.84799999999996,-8.496,61.719,0,0,1,0
37,97.754,-346.875,-25.684,111.816,92.09,-93.848,58.691,-16.992,83.887,25.684,131.738,-487.207,-59.473,-366.895,137.305,-35.84,149.121,5.7620000000000005,79.199,0,0,1,0
38,103.418,-333.0080000000001,-11.914,120.898,92.871,-95.801,63.379,-4.004,85.449,36.328,128.125,-468.262,-81.25,-353.125,138.86700000000002,-21.973000000000006,152.93,12.695,89.258,0,0,1,0
39,114.453,-314.844,1.367,146.191,95.312,-100.098,66.797,6.152,84.08200000000002,45.41,127.148,-457.52,-104.199,-342.773,129.88299999999998,-12.402,163.379,22.168000000000006,97.07,0,0,1,0
40,98.926,-342.09,-26.465,127.832,79.395,-85.742,46.582,-17.09,69.043,25.391,114.648,-493.652,-97.363,-373.047,104.395,-37.695,144.434,0.7809999999999999,72.852,0,0,1,0
41,74.023,-369.434,-54.102,113.184,61.426,-65.527,27.441,-35.84,59.863,8.594,92.578,-525.0980000000002,-90.332,-391.211,87.20700000000002,-57.91,128.125,-20.605,53.71100000000001,0,0,1,0
42,57.227,-385.9380000000001,-67.09,87.695,54.883,-57.129,21.094,-44.043,63.867,3.125,82.42200000000003,-516.406,-77.441,-399.414,81.348,-64.355,118.359,-31.934,46.484,0,0,1,0
43,52.637,-400.977,-69.727,70.41,58.594,-61.621,24.316,-61.035,71.387,-12.890999999999998,83.008,-542.969,-61.621,-430.859,79.492,-88.477,113.184,-38.184,36.914,0,0,1,0
44,41.992,-421.094,-85.156,58.789,50.977,-56.25,15.332,-78.32,69.336,-29.688,59.76600000000001,-568.555,-65.332,-438.086,65.82,-104.785,103.711,-50.0,23.535,0,0,1,0
45,50.977,-402.148,-70.02,80.273,58.789,-66.309,18.359,-59.277,65.234,-14.648,61.816,-540.7230000000002,-74.219,-406.543,70.508,-79.00399999999998,117.969,-34.668,39.16,0,0,1,0
46,77.637,-367.187,-39.648,96.973,78.125,-82.324,32.715,-23.535,68.262,18.848,89.844,-480.176,-72.75399999999998,-365.332,90.625,-40.332,139.844,-8.789,63.867,0,0,1,0
47,92.773,-346.875,-29.883000000000006,119.727,85.352,-88.281,39.258,-7.227,63.477,31.055,110.449,-467.969,-87.305,-349.414,102.539,-25.293000000000006,151.36700000000005,5.4689999999999985,75.391,0,0,1,0
48,98.047,-333.301,-23.34,133.691,85.742,-88.37899999999998,44.043,5.957000000000002,66.211,41.40600000000001,103.809,-459.473,-103.711,-335.254,103.516,-10.449000000000002,154.49200000000005,12.109000000000002,86.62100000000002,0,0,1,0
49,115.918,-303.711,-7.813,161.621,86.035,-89.941,55.078,25.977,73.34,55.957,118.652,-430.078,-98.828,-315.039,125.195,8.105,170.313,26.367,102.832,0,0,1,0
50,94.141,-335.742,-26.27,127.441,72.949,-78.711,39.355,3.027,63.477,31.543000000000006,96.289,-463.574,-89.941,-357.617,113.379,-25.0,147.656,4.395,80.566,0,0,1,0
51,73.242,-362.305,-53.613,107.617,54.98,-59.082,19.238,-17.383,55.371,11.816,76.66,-483.203,-101.27,-373.242,85.84,-48.535,130.664,-17.578,60.449,0,0,1,0
